S.No.;Name;D.O.B.;Address;Phone No
1;Priyanka Chopra;07/18/1995;803, Karan Next to Green Acres, Lokhandwala Complex, Andheri West, Mumbai;1234567890
2;Virat Kohli;11/05/1997;DLF City, Phase-1 (C-Block), Gurgaon;3214569087
3;Rakesh Kumar Bhadauria;06/15/1993;Vice Chief of the Air Staff, Air Headquarters, New Delhi;7896325014
4;Narendra Modi;09/17/1995;Parliament House, Room No.1, South Block, Raisina Hills, New Delhi;9630258741
5;Arijit Singh;04/25/1994;181, 1st Floor, Aram Nagar Part 2, Andheri, Mumbai;9874102563
6;Amit ;09/19/1988;G-21, Sector 9, Opposite of Community House, Chandigarh ;9644258744
7;Amit ;04/21/1994;391, 3rd Floor, Aram Nagar Part 2, Andheri, Mumbai;7874102563
8;Shahrukh Khan;11/02/1995;Mannat, Land’s End, Bandstand, Bandra (West), Mumbai, Maharashtra;6302145789
9;Rahul Gandhi;06/19/1997;12, Tughlak Lane,New Delhi - 110 011;1123795161
10;Arvind Kejriwal ;11/02/1995;Residence Of 41-Bunglow, Hanuman Road, New Delhi;9868456953
11;Arjun;01/02/1995;S-03,  Land’s End, Bandra (West), Mumbai, Maharashtra;6302145789
12;Bheem Singh;11/21/1991;69, Tughlak Lane,New Delhi - 110 011;1124575162
13;Prashant Kundu;08/16/1996;Residence Of 41-Bunglow, Hanuman Road, Kolkata;9878067854
